,values
0,"
### Input:
고소작업 중 추락 위험이 있음에도 불구하고, 안전난간대, 안전고리 착용 등 안전장치가 미흡하였음.
### Response:
안전교육 실시 및 안전관리 철저."
1,"
### Input:
부주의
### Response:
안전교육 실시 및 안전관리 철저."
2,"
### Input:
3층 슬라브 작업시 이동중  미끄러짐
### Response:
작업자 안전교육 실시 및 안전장비 착용 철저."
3,"
### Input:
교각 기초철근 조립 중 강한 바람에 의해 기둥측 주철근이 균형을 잃고 전도되어, 하부에서 작업 중이던 철근공 2명이 철근에 부딪힌 사고
### Response:
작업자 안전교육 실시 및 현장 관리감독 철저."
4,"
### Input:
근로자의 부주의
### Response:
작업 전 안전교육 실시와 작업장 내 위험요소 제거 및 관리감독 강화."
5,"
### Input:
일정 거리를 두고 떨어져 있었지만 튕겨서 방향이 바뀔 것을 예상하고 좀 더 거리를 두었어야함
### Response:
작업자 안전교육 실시와 작업 전후 안전점검 철저."
6,"
### Input:
철골보와 기둥철판 사이 틈새를 고정하는 공구를 빠지지 않도록 하는 안전장치가 미비아여, 공구가 빠지면서 손가락 협착 발생
### Response:
안전교육 실시 및 철저한 관리감독을 통한 재발 방지 대책."
7,"
### Input:
비계계단에서 이동중 근로자 부주의로 인해 발을 헛디뎌 떨어짐
### Response:
작업 전 안전교육 실시와 작업장 내 위험요소 사전 제거 및 관리감독 철저."
8,"
### Input:
고소작업대 운전원과 동승자(재해자) 사이 소통 미흡
### Response:
동승자와의 사전 협의를 통한 안전교육 실시 및 고소작업대 운전원의 재발 방지 대책."
9,"
### Input:
기존 CIP 절단 작업 중 와이어쏘 날이 끊어져 재해자가 작업 CIP 뒤쪽으로 와이어 확인 및 교체작업 중 개구부로 추락
### Response:
재발 방지 대책과 향후 조치 계획."
10,"
### Input:
사고자(000) 단독으로 임의작업 시행(작업계획 3층, 사고현장 1층)으로 안전고리 미착용 등 근로자 부주의, 2인이상 작업 미시행
### Response:
근로자 교육 실시 및 재발 방지 대책 수립."
11,"
### Input:
1.작업자 단독작업 실시    2. 사다리 전도방지장치  및  2인1조 작업 미이행
### Response:
사고 재발 방지를 위한 안전교육 실시와 현장 관리감독 철저를 통한 재발 방지 대책 마련."
12,"
### Input:
작업바닥 정리정돈 미흡 및 작업자 부주의
### Response:
작업장 주변 정리정돈 철저와 안전교육 실시."
13,"
### Input:
파이프를 밟고 미끄러지면서 발목과 발가락이 꺽이면서 발가락 골절
### Response:
작업 전 안전교육 실시와 작업장 주변 정리정돈 철저, 사고사례 전파 및 재발 방지를 위한 조치 계획."
14,"
### Input:
자재 운반 시 임의로 많은 양을 운반하다 중심을 잃고 넘어짐
### Response:
작업 전 안전교육 실시 및 자재 운반 시 적정량 운반과 안전수칙 준수 철저 교육."
15,"
### Input:
창호구간 사춤작업을 위해 우마작업대를 들고 공구를 운반대차에 싣고 이동중 바닥의 결빙구간을 정확히 인지하지 못하여 미끄러져 넘어지면서 들고 가던 우마작업대가 위에 떨어지며 우측 가슴부위를 가격하여 충격을 받은 사고
### Response:
사고발생 후 안전교육 실시 및 재발 방지를 위한 조치 계획."
16,"
### Input:
작업자 부주의
### Response:
안전교육 실시 및 안전관리 철저."
17,"
### Input:
현장 내 조적 작업 진행 중 해당 작업자 허리에서 통증이 발생하였고, 병원 진료 등 확인 결과 척추추간판협착증, 전방전위증  등이 발생된걸로 확인
### Response:
작업자 안전교육 실시 및 재발 방지 대책 수립."
18,"
### Input:
경사각이 급한 구간을 빠르게 오르려다 넘어짐
### Response:
작업 전 안전교육 실시와 작업자 관리 철저."
19,"
### Input:
넘어지는 타일을 지지하다 피하는 과정에서 타일에 왼쪽 발을 부딪힘
### Response:
타일 작업 시 안전교육 실시와 작업 전후 안전점검 실시."
20,"
### Input:
2인1조로 밀어서 운반 하던 중 상호 의사소통 미흡으로,   한방향으로만 힘이 들어가 손가락이 자재와 자재 사이에 끼임
### Response:
작업 전 안전교육 실시 및 작업자 간 의사소통 철저."
21,"
### Input:
공사현장 내부 바닥자재에 걸려 넘어짐
### Response:
작업 전 안전교육 실시 및 작업 전후 안전점검 철저."
22,"
### Input:
작업자 미끄러짐
### Response:
안전교육 실시 및 안전장비 지급."
23,"
### Input:
우레탄폼 사춤작업 준비 중 얼어있는 우레탄폼 케이스를 토치로 가열하다 케이스가 폭발하면서 파편에 맞아 우측 발가락 골절됨
### Response:
안전교육 실시 및 안전장비 착용 철저, 작업 전후 안전점검 실시."
24,"
### Input:
작업자 부주의로 인해
### Response:
작업 전 안전교육 실시 및 작업장 주변 정리정돈 철저."
25,"
### Input:
본선터널 2-1구간(종점방향)의 천단부 보조공법(훠홀링) 시공중 차징카 붐대에 버켓을 연결하는 연결핀이 부러지면서 근로자 추락.
### Response:
작업 전 안전교육 실시 및 작업 전 사전 점검 철저, 현장 관리감독 강화."
26,"
### Input:
공연장 3층 정리자재를 1층으로 낙하 도중 자재가 바닥에 떨어지면서 튀어 주변 통제를 위해 신호를 하던 재해자 우측 눈 가격
### Response:
작업 전 안전교육 실시와 작업 전후 안전점검 실시, 사고사례 전파 및 향후 조치 계획."
27,"
### Input:
배관 파이프 고정 작업간 상호 안전상태 확인 미흡 및 타설중지 미실시
### Response:
작업 전 안전교육 실시와 배관파이프 고정 작업 시 상호 안전 상태 확인 철저, 타설 중지 조치 철저."
28,"
### Input:
적절한 보안경 미착용, 보조원의 위치 부적절
### Response:
작업 전 안전교육 실시 및 작업자 교육 철저."
29,"
### Input:
14층 실외기실 슬라브 도장작업 중 부주의로 인한 추락
### Response:
안전교육 실시 및 안전관리 철저."
30,"
### Input:
현장내 이동중 208동 외부계단에서 미끄러짐
### Response:
작업 전 안전교육 실시 및 현장 내 위험요소 제거."
31,"
### Input:
작업자 부주위
### Response:
작업자 안전교육 실시 및 작업장 정리정돈 철저."
32,"
### Input:
버림타설 후 동절기 보양천막 해체 작업 중 터파기 해 놓은 독립기초 상부 보양비닐을 밟아 단차부위로 넘어져 매립거푸집 지지를 위해 설치한 각파이프에 가슴을 부딪혀 늑골 골절
### Response:
동절기 보양천막 철거작업 시 안전교육 실시 및 현장관리 강화."
33,"
### Input:
크레인 승하강 시 하부 사다리를 확인하지 않고 내려오다 발을 헛디뎌 지반을 강하게 디딤
### Response:
작업 전후 안전교육 실시 및 작업자 관리 철저."
34,"
### Input:
배수로 드레인 이동통로 확보상태 미흡, 작업자의 불안전한 상태에서의 이동 작업
### Response:
작업자 안전교육 실시 및 배수로 통로 확보 철저."
35,"
### Input:
PE관 절단 중 톱날에 엄지손가락 베임
### Response:
작업 전 안전교육 실시 및 작업자 보호구 착용 철저."
36,"
### Input:
구체적인 사고원인이 확인 불가능하여 경찰 및 한국산업안전보건공단 사고조사팀 조사 중
### Response:
작업 전 안전교육 실시와 작업자 안전교육 철저, 안전관리감독자 배치, 안전교육 실시 후 작업 시작."
37,"
### Input:
1. 렌탈에서 하차시 3점지지 미이행 / 계단 발판 미확인
### Response:
1. 작업자 교육 실시 및 안전교육 철저 이행, 사고사례 전파를 통한 재발 방지 대책 마련."
38,"
### Input:
동주변 토공정리 완료 전 이동
### Response:
작업자 안전교육 실시 및 작업장 주변 정리 철저."
39,"
### Input:
주차장 램프 시스템비계 위에서 치장벽돌 쌓기 작업 중 작업도구를 가지러 비계발판에서 창호쪽으로 이동하던 중 미끄러지면서  비계와 발판 사이로 빠지면서 좌측 가슴부위를 창호 인방 모서리에 부딪힌 사고
### Response:
작업 전 안전교육 실시 및 안전관리 철저, 재발 방지를 위한 조치 계획."
40,"
### Input:
1. 협소공간에서 지속적인 작업2. 근골격계질환 교육 미실시
### Response:
근로자 안전교육 실시 및 재발 방지 대책 수립."
41,"
### Input:
1층 바닥 슬라브 거푸집 눈 대비 천막 보양 작업 중 부주위에 의한 사고
### Response:
작업 전 안전교육 실시 및 안전관리 철저."
42,"
### Input:
바닥에 헛딛으면서 넘어져 손목 골절됨
### Response:
작업 전 안전교육 실시 및 작업장 주변 정리정돈 철저."
43,"
### Input:
시스템 비계 과적재
### Response:
작업 전 안전교육 실시 및 작업자 교육 철저."
44,"
### Input:
비계 발판 해체 작업 중 비계발판의 무게를 견디지 못하고 추락
### Response:
작업 전 안전교육 실시와 안전장구 착용 철저, 사고사례 전파 및 재발 방지를 위한 조치 계획."
45,"
### Input:
근로자 부주의로 인한 넘어짐
### Response:
작업 전 안전교육 실시 및 작업장 주변 정리정돈 철저."
46,"
### Input:
현장관리미흡
### Response:
작업자 안전교육 실시 및 현장 관리 철저."
47,"
### Input:
수공구 사용 시 집중력 분산
### Response:
작업 전 안전교육 실시 및 작업자 관리 철저."
48,"
### Input:
작업수칙 미준수 및 불안전한 행동
### Response:
작업수칙 준수와 안전교육 실시."
49,"
### Input:
상기 일시에 재해자가 굴착기와 우수관로 앞쪽에서 굴착잡업 위한 신호를 하던중, 굴착기와 과도한 접근 및 굴착기장비원의 시야확보 부족으로 굴착기 버켓에 오른쪽 발등을 찍힘
### Response:
작업 전 안전교육 실시 및 작업자 안전교육 철저."
50,"
### Input:
시스템 동바리 해체 작업 중 재해자가 멍에를 받아서 안고 미끄러지면서 시스템 횡대에 왼쪽 갈비뼈를 부딪힘
### Response:
작업 전 안전교육 실시와 작업자 안전장구 착용 철저, 작업 전후 안전점검 실시 및 위험요소 사전 제거 조치."
51,"
### Input:
고속절단기가 정지하지 않은 상태에서 목재 제거를 시도하여 발생. (고속절단기 사용방법의 미숙)
### Response:
작업 전 안전교육 실시 및 작업자 교육 철저, 고속절단기 사용 방법 숙지와 안전사고 예방을 위한 특별 관리감독 실시."
52,"
### Input:
지붕 판넬 시공전 서리로 인해 미끄러져 떨어짐
### Response:
작업 전 안전교육 실시 및 작업자 안전장구 착용 철저."
53,"
### Input:
사다리 전도방지장치 미설치, 관리감독자 관리 미흡, 작업자 부주의
### Response:
작업전 안전교육 실시 및 사고사례 전파를 통한 재발 방지 대책."
54,"
### Input:
화재감시중 바닥자재에 걸려 넘어짐
### Response:
작업 전 안전교육 실시 및 작업장 주변 정리정돈 철저."
55,"
### Input:
플랜트 공으로 근무하던 작업자가 작업 내용을 다른 직원에게 인수인계하기 위하여 교반기를 작동하였으나 교반기 날개에 묻어있던 시멘트가 튀어서 알레르기가 발생하였다고 주장
### Response:
작업 전 안전교육 실시와 사고사례 전파를 통한 재발 방지 대책."
56,"
### Input:
관리미흡
### Response:
재발 방지 대책."
57,"
### Input:
재해자의 안전수칙 미준수 등
### Response:
안전교육 실시 및 재발 방지 대책."
58,"
### Input:
지상 3층 A존 천정 경량골조 사이즈 실측 후 말비계에서 내려오던 중 바닥에 디딤과 미끄러지면서 왼쪽 발을 접지름.
### Response:
작업 전 안전교육 실시와 작업자 안전교육 철저, 안전관리감독자 배치 및 현장 관리 감독 철저."
59,"
### Input:
사다리 위에서 실리콘 작업을 마치고 내려오던 중 미끄러져 넘어지면서 안전모가 벗겨져 머리쪽에 창상이 발생함
### Response:
작업 전 안전교육 실시와 안전장비 착용 철저, 사고자 치료 및 재발 방지를 위한 조치 계획."
60,"
### Input:
난간 도장시 불안전한 자세로 무리하게 도장작업을 진행하다가 사고가 발생함(상체를 숙이지 않고, 사다리를 이용하거나 틈 사이로 손을 집어넣어 작업이 가능한 상태였음)
### Response:
사고 재발 방지 대책 및 향후 조치 계획."
61,"
### Input:
매일 아침TBM 시간에 현장 내 결빙 구간 미끄럼 위험에 관하여 전파 및 교육을 진행 하였으나, 작업자의 부주의한 행동으로 인해 발생
### Response:
작업자 안전교육 실시와 함께 TBM시간에 현장 내 결빙구간 미끄럼 사고 예방을 위한 특별안전교육 실시."
62,"
### Input:
작업자서, 동작의 결함, 인적요인(고령 73세)- '23년 12월 27일 14시경 현장에서 1톤 진동롤러를 수동으로 시동을 걸다 회전하는 스타팅 핸들에 오른손 새끼손가락 및 손등 부딪힌 사고로 작업의 환경적 요인(동작의 결함)에 의해 사고 발생
### Response:
작업 전 안전교육 실시와 작업자의 주의력 향상 교육 실시."
63,"
### Input:
천정해체/정리작업 중 공사현장 정리정돈 상태를 충분히 확인하지 않은 채 작업하여 물체 낙하를 예상하지 못하여 상해를 입음.
### Response:
공사현장 정리정돈 상태를 철저히 확인하고, 안전교육 실시 및 재발 방지 대책 수립."
64,"
### Input:
방총작업 중 배관호스에 걸려 넘어진 사고이며, 근로자간 의사소통 미흡으로 인한 사고로 판단됨
### Response:
근로자 안전교육 실시 및 작업 전 안전점검 철저."
65,"
### Input:
작업자 부주의
### Response:
안전교육 실시 및 안전관리 철저."
66,"
### Input:
장비 근로자 동시작업중 근로자를 인지하지 못한 장비에 의해 안전사고 발생
### Response:
근로자 교육 및 재발 방지 대책."
67,"
### Input:
작업자 부주의
### Response:
안전교육 실시 및 안전관리 철저."
68,"
### Input:
철골작업을 위해 부재에 샤클을 체결하여 인양하는 작업 추진 중 자재의 전도로 재해자의 왼쪽 발등에 얹힘으로서 사고 발생
### Response:
안전교육 실시 및 안전관리 철저를 통한 재발 방지 대책."
69,"
### Input:
작업 중 철근 상부 결빙으로 인해 미끄러져 발등을 다침
### Response:
철근 작업 시 안전교육 실시 및 철근 작업 전후 안전점검 실시."
70,"
### Input:
화장실 PIT 터파기구간 청소작업중 결빙구간에 미끄러지면서 발목이 접질려서 발목골절 재해 발생함
### Response:
동일한 사고가 반복되지 않도록 안전교육 실시 및 작업자 안전교육 철저."
71,"
### Input:
자재 정리 중 바닥의 자재를 확인하지 못하고 걸려 넘어짐
### Response:
작업 전후 안전교육 실시 및 작업장 주변 정리정돈 철저."
72,"
### Input:
재해자인 비계공이 2인 1조로 단관비계파이프 정리 중 오른손 집게손가락이 파이프에 부딪혀 골절 발생
### Response:
작업 전 안전교육 실시와 작업자 간 협의를 통한 재발 방지 대책 마련."
73,"
### Input:
내부 계단 현장 내 조도 미확보 및 결빙구간 방치로 인해 미끄러져 넘어지면서 어깨 탈골
### Response:
현장 내 조명 설치 및 결빙 구간에 대한 안전 관리 철저."
74,"
### Input:
작업자 보호구 미착용상태로 작업(보안경 미착용)
### Response:
작업 전 안전교육 실시 및 안전장비 착용 철저."
75,"
### Input:
타워크레인 부위 H빔 설치 시 작업공간이 부족하여 지그 끝단에  H빔을 올리고 작업 중 바깥으로 기울어지는 H빔을 잡으려다 왼쪽손목 협착
### Response:
작업 전 안전교육 실시 및 사고사례 전파, 타워크레인 작업 시 작업자 안전교육 철저와 안전관리 강화."
76,"
### Input:
재해자가 104동 1코어 17층 세대 내부 벽체 견출 작업을 마치고 계단실로 이동하던 중 왼손에는 사모래통(10L 내 ¾ 정도 들어있었음) 오른손에는 미장용 칼(고대) 를 들고있는 상태에서 바닥이 얼음이 얼어있는 것을 인지하지 못하고 계단참 입구에서 넘어지면서 오른손 손목을 미장용칼이랑 같이 짚으면서 손목이 골절됨
### Response:
작업 전 안전교육 실시와 현장 관리감독 철저, 재발 방지를 위한 조치 계획."
77,"
### Input:
23.12.26 16시30분경 석재 작업을 마치고 비계에서 내려온 후 이동하다가 넘어지면서 손으로 바닥을 짚는 과정에서 손목통증을 호소함
### Response:
작업 전 안전교육 실시 및 안전장비 착용 철저, 사고사례 전파를 통한 재발 방지 대책 수립과 향후 조치 계획."
78,"
### Input:
축사현장 H빔 설치 작업중 크레인실링바에서 H빔 낙하하여 사고 낙하원인 알수 없음
### Response:
작업 전 안전교육 실시 및 현장 관리 철저."
79,"
### Input:
1층 슬라브 거푸집 해체공사 작업중 바닥에 있는 서포트 자재를 뒷걸음질로 옮기면서 바닥단차(H:50mm) 부위에 발이 걸려 넘어지면서 새끼발가락이 골절됨.
### Response:
작업 전 안전교육 실시와 현장관리 철저, 재해자 치료 및 보상 조치."
80,"
### Input:
작업자 부주의로 보온재 이동중 바닥 보양천막에 미끄러져 넘어짐
### Response:
작업 전 안전교육 실시 및 작업장 주변 정리정돈 철저."
81,"
### Input:
작업자 부주의
### Response:
안전교육 실시 및 안전관리 철저."
82,"
### Input:
언제: 2024년 12월 26일 14시경어디서: 동측 휀스 내부누가 : 000(안전관리자 46세)무엇을 : 휀스내 안전 현수막 설치어떻게: 바득으로부터 115cm 위 전기 분전함 위에서 뛰어 내리다 착지 후 무릎에 충격 발생왜 : 승강 사다리 등을 설치하지 않고 작업
### Response:
작업 시 안전사고 예방 교육 실시 및 안전교육 철저 이행."
83,"
### Input:
판넬 절단 작업시 2인1조 작업 미 준수 및 작업대 미사용, 절단 작업 기준 미준수
### Response:
작업자 교육 실시와 안전교육 강화."
84,"
### Input:
재해자의 불안전한 행동으로 인한 넘어짐 사고
### Response:
작업 전 안전교육 실시와 작업장 내 위험요소 제거 및 재발 방지 대책 마련."
85,"
### Input:
토사 천공이르 예측하여 오거 천공하였으나 크고작은 호박돌이 오거에 끼여 제거 작업 중 손가락 끼임 사고 발생
### Response:
작업 전 안전교육 실시와 안전장비 착용 철저, 안전관리감독자 배치 및 현장 관리 철저."
86,"
### Input:
A동 내부 콘크리트 타설 완료 후 펌프카로 연결된 콘크리트 이송 배관 해체작업 중 전면의 미해체된 이송배관이 순간적으로 낮아지면서 사고지점의 관이 위쪽으로 올라가면서 이송배관이 피재인의 좌측 흉부를 가격
### Response:
사고 발생 즉시 응급조치 및 안전교육 실시와 향후 재발 방지를 위한 조치 계획."
87,"
### Input:
2023년 12월 26일 11:00분경 작업 종료 후 신호수가 유도하여 궤도식 렌탈(작업대에 조작장치가 있음)을 타고 이동하던 중 102동 103동 사이 슬라브(콘크리트 바닥) 단차부에 작업대가 걸려 반동으로 인하여 운전자가 떨어져 발생한 재해.
### Response:
작업 전 안전교육 실시 및 안전관리 철저, 사고사례 전파를 통한 재발 방지 대책."
88,"
### Input:
작업순서 미준수(낙하물 발생 우려가 있는 장소에서 근접하여 작업)
### Response:
작업자 안전교육 실시 및 재발 방지 대책 수립."
89,"
### Input:
재해자가 세대(104동 2201호) 내 폐기물 정리작업을 하기위해 작은방에서 세대현관으로 이동중 현관문틀에 발이걸려 몸의 중심을 잃으며 운반중인 폐기물에 좌측늑골을 부딪힘
### Response:
작업 전 안전교육 실시와 작업장 주변 청소 및 정리정돈 철저, 재발 방지 대책 마련."
90,"
### Input:
사다리가 미끄러지지 않도록 2인1조 작업 및 하부에서 견고히 잡아주었어야 했으나 미흡했음.
### Response:
작업 전 안전교육 실시와 사전 점검 철저, 안전장비 착용 철저, 2인1조 작업과 하부에서 견고한 지지 철저."
91,"
### Input:
1001호 자재인양구 덮개 인위적 해체로 인하여 추락사고 추정
### Response:
자재인양구 덮개 설치 및 안전교육 실시."
92,"
### Input:
불안전한 자세 및 동작
### Response:
근로자 안전교육 실시와 작업 전 안전점검 실시."
93,"
### Input:
작업장 주변 정리정돈 및 청소 관찰 부주의
### Response:
작업장 주변 정리정돈 및 청소 철저, 작업자 안전교육 실시."
94,"
### Input:
몰탈을 용기에 담아 1.2M 높이 발판에 올리려다 어깨에 통증을 느끼고 퇴근 후까지 통증이 지속됨
### Response:
작업 전 안전교육 실시와 작업자 건강관리 철저, 재발 방지 대책 마련 및 향후 조치 계획."
95,"
### Input:
작업자가 양손에 작업 공구를 들고 작업발판을 내려오다 발을 헛디뎌 넘어지며 손목에 골절 발생
### Response:
작업자 안전교육 실시 및 재발 방지를 위한 조치 계획."
96,"
### Input:
결빙된 바닥을 걷다가 미끄러져 앞으로 넘어짐.
### Response:
작업 전 안전교육 실시와 작업장 주변 정리정돈 철저."
97,"
### Input:
106동 필로티에서 조적작업을 위해 점화된 고체연료를 이용하여 예열 중 고체연료를 등지고 전동믹서기를 수리하다가 옷이 화구에 근접하여 불이 옮겨 붙어 재해 발생(2도 화상)
### Response:
작업자 안전교육 실시 및 작업장 내 위험요소 제거."
98,"
### Input:
작업전 작업물(크레인 와이어)을 제대로 고정하지 않고 작업 하였고, 불안정한 자세로 작업을 진행하여 결과적으로 작업자의 부주의로 이어졌음.
### Response:
작업 전 안전교육 실시와 작업자 교육 철저를 통한 재발 방지 대책."
99,"
### Input:
작업자 보행중 전방주시 불량에 의한 발걸림에 의함 넘어짐 사고
### Response:
작업자 안전교육 실시 및 작업장 내 위험요소 제거를 통한 재발 방지 대책."
